Tipo;Distrito;Cuartos;Vacantes;Suites;Area;Valor;Mantenimiento;Impuesto
Tienda/Salón;Punta Negra;0;0;0;355;7000.0;257.0;
Local comercial;Ate;0;3;0;121;4800.0;3775.0;498.0
Local comercial;Pachacámac;0;0;0;285;25000.0;8571.0;1598.0
Local comercial;Pachacámac;0;0;0;500;9000.0;;1200.0
Local comercial;Chorrillos;0;3;0;134;12000.0;5115.0;
Almacén;Rímac;0;0;0;1695;30000.0;;
Local comercial;Pachacámac;0;0;0;219;23000.0;;
Tienda/Salón;Comas;0;0;0;78;12000.0;;1115.0
Local comercial;Lince;0;1;0;22;800.0;327.0;82.0
Local comercial;Ate;0;4;0;82;2400.0;2210.0;420.0
Local comercial;San Luis;0;1;0;35;800.0;530.0;100.0
Almacén;Lince;0;0;0;700;15000.0;;1184.0
Local comercial;Ate;0;1;0;36;1000.0;1200.0;
Local comercial;San Luis;0;1;0;55;1200.0;500.0;
Almacén;Ventanilla;0;0;0;286;4000.0;;
Local comercial;Pachacámac;0;0;0;460;6000.0;4705.0;1891.0
Casa comercial;Magdalena del Mar;0;0;0;1200;10000.0;;
Local comercial;Ate;0;1;0;24;800.0;570.0;105.0
Local comercial;Pachacámac;0;0;0;24;500.0;310.0;79.0
Casa comercial;Chorrillos;0;6;0;261;18000.0;;
Local comercial;Puente Piedra;0;47;0;7357;514990.0;166709.0;14787.0
Local comercial;San Borja;0;0;0;105;5000.0;3015.0;
Tienda/Salón;Pachacámac;0;0;0;214;40755.0;8070.0;
Local comercial;Callao;0;1;0;21;1300.0;380.0;475.0
Local comercial;Ate;0;2;0;70;4500.0;2500.0;488.0
Tienda/Salón;Lince;0;0;0;70;2000.0;1100.0;
Local comercial;Santa Anita;0;1;0;24;950.0;722.0;180.0
Local comercial;Ate;1;1;0;36;1300.0;900.0;
Local comercial;Pachacámac;0;0;0;120;4000.0;2526.0;334.0
Local comercial;Chorrillos;0;5;0;212;19500.0;7800.0;
Local comercial;Ate;0;1;0;30;1000.0;780.0;
Local comercial;Ate;0;8;0;350;14000.0;9114.0;
Local comercial;Pachacámac;0;0;0;35;700.0;479.0;110.0
Tienda/Salón;Ate;0;1;0;47;3700.0;545.0;
Local comercial;Ate;0;6;0;274;12000.0;11632.0;
Local comercial;Ate;0;1;0;38;1800.0;1145.0;275.0
Local comercial;San Borja;0;2;0;140;16500.0;4200.0;1300.0
Local comercial;Jesús María;0;1;0;28;700.0;452.0;
Tienda/Salón;Comas;0;0;0;33;1500.0;760.0;
Local comercial;Lince;0;1;0;32;700.0;539.0;
Local comercial;Comas;0;0;0;30;1800.0;1275.0;
Tienda/Salón;Ate;1;3;0;165;6900.0;1200.0;1850.0
Local comercial;Ate;0;1;0;36;1500.0;740.0;90.0
Casa comercial;San Borja;0;0;0;45;18000.0;550.0;390.0
Local comercial;Pachacámac;0;0;0;104;7400.0;3200.0;368.0
Tienda/Salón;Ate;0;1;0;27;1200.0;695.0;50.0
Local comercial;Pachacámac;0;0;0;60;950.0;1366.0;
Local comercial;Lince;0;1;0;24;850.0;500.0;160.0
Local comercial;Jesús María;0;1;0;38;1400.0;500.0;
Almacén;Callao;0;2;0;631;8000.0;;554.0
Local comercial;San Martín de Porres;0;1;0;29;1100.0;505.0;
Local comercial;Ate;0;1;0;58;1900.0;1273.0;403.0
Local comercial;Pachacámac;0;0;0;350;28000.0;5000.0;
Local comercial;Pachacámac;0;0;0;73;1565.0;2814.0;86.0
Tienda/Salón;Pachacámac;0;0;0;532;50000.0;5580.0;7221.0
Tienda/Salón;Chorrillos;0;5;0;400;40000.0;986.0;2034.0
Local comercial;Ate;0;1;0;70;3500.0;1460.0;
Local comercial;Pachacámac;0;5;0;1306;97953.0;22203.0;4101.0
Tienda/Salón;San Borja;0;0;0;55;6000.0;;400.0
Local comercial;Pachacámac;0;0;0;375;20625.0;5950.0;2022.0
Local comercial;San Martín de Porres;0;1;0;30;1300.0;750.0;34.0
Local comercial;Jesús María;0;1;0;35;1700.0;280.0;
Local comercial;Pachacámac;0;0;0;66;2500.0;1922.0;335.0
Local comercial;Jesús María;0;1;0;32;800.0;1200.0;150.0
Local comercial;Ate;0;6;0;219;15000.0;7420.0;1600.0
Local comercial;Jesús María;0;24;0;1473;73650.0;22659.0;9661.0
Local comercial;San Miguel;0;0;0;30;399.0;680.0;30.0
Local comercial;Ate;0;1;0;36;1500.0;1300.0;280.0
Tienda/Salón;San Borja;0;0;0;400;62000.0;2200.0;16174.0
Tienda/Salón;San Miguel;0;5;0;262;28000.0;2737.0;1595.0
Local comercial;Ate;0;1;0;32;600.0;919.0;119.0
Casa comercial;Santa Rosa;0;0;0;148;3500.0;260.0;
Casa comercial;Pachacámac;0;0;0;150;11000.0;;864.0
Local comercial;San Miguel;0;0;0;24;900.0;385.0;
Tienda/Salón;Ate;0;1;0;56;3500.0;530.0;
Casa comercial;Pueblo Libre;4;0;0;241;14000.0;;2195.0
Local comercial;Puente Piedra;0;1;0;42;1200.0;850.0;
Tienda/Salón;Pachacámac;0;0;0;320;45000.0;;2250.0
Local comercial;Pachacámac;0;0;0;28;400.0;550.0;79.0
Local comercial;Rímac;0;0;0;300;60000.0;3000.0;1960.0
Local comercial;Ate;0;0;0;5;299.0;;
Local comercial;Pachacámac;0;0;0;93;2000.0;840.0;
Local comercial;Pachacámac;0;0;0;560;50405.0;15516.0;2048.0
Local comercial;Chorrillos;0;8;0;425;27000.0;11809.0;1940.0
Almacén;Santa Rosa;0;0;0;600;8000.0;;500.0
Tienda/Salón;San Miguel;0;0;0;150;7800.0;;
Local comercial;Ate;0;1;0;55;1000.0;1000.0;385.0
Local comercial;San Luis;0;0;0;30;1000.0;;155.0
Local comercial;Callao;0;1;0;22;1000.0;10.0;
Local comercial;Chaclacayo;0;0;0;30;550.0;350.0;33.0
Local comercial;Villa El Salvador;0;3;0;179;15228.0;4916.0;
Local comercial;Chorrillos;0;12;0;730;109500.0;24608.0;3934.0
Local comercial;Pachacámac;0;0;0;35;1000.0;492.0;97.0
Local comercial;Lince;0;1;0;32;810.0;115.0;154.0
Local comercial;Ate;0;3;0;108;5400.0;4040.0;835.0
Local comercial;Ate;0;1;0;23;1000.0;340.0;106.0
Local comercial;San Borja;0;0;0;58;1200.0;511.0;
Local comercial;Pachacámac;0;0;0;680;23000.0;5628.0;2747.0
Local comercial;Ate;0;21;0;643;57000.0;13500.0;8100.0
Tienda/Salón;Pachacámac;0;0;0;51;6000.0;1650.0;314.0
Tienda/Salón;Ate;0;0;0;370;15000.0;1046.0;
Casa comercial;Jesús María;0;1;0;38;2000.0;500.0;
Local comercial;Pachacámac;0;1;0;260;10400.0;6695.0;
Almacén;Lima;0;0;0;800;8000.0;;
Local comercial;Jesús María;0;1;0;25;1000.0;;
Local comercial;Pachacámac;0;0;0;300;8000.0;4200.0;1130.0
Almacén;Independencia;0;0;0;1170;14310.0;;
Local comercial;Pachacámac;0;0;0;31;750.0;560.0;82.0
Local comercial;Rímac;0;0;0;150;25000.0;2400.0;694.0
Local comercial;Ate;0;1;0;27;800.0;640.0;130.0
